,year,no_arctic_tas,arctic_tas,world_tas
78,1928,0.05475140769165356,0.5256562891551358,0.08415690740136932
79,1929,0.07177320422977201,-0.1173322212464022,0.10554266843712043
80,1930,0.0850925594547883,0.4130042370005661,0.12102059594783718
81,1931,0.10447335205201921,0.4539805581738754,0.14213098961985648
82,1932,0.11794116021072694,0.3969618711398647,0.15513545553946137
83,1933,0.13374173384376195,-0.1018841448248513,0.17190478938132542
84,1934,0.1503798909914744,0.7311869712469972,0.19018905935616068
85,1935,0.17143197558616258,0.3328358993026665,0.21235076228841682
86,1936,0.18406017419045306,0.2747526102791867,0.2262904933421392
87,1937,0.18462507514458887,1.2285897102464136,0.22626691251694875
88,1938,0.1894470645453785,1.3714898210873816,0.232939855669621
89,1939,0.19391015464761857,0.6020582233457858,0.2362957652290935
90,1940,0.20586687681600133,1.000267943124905,0.24856936906055566
91,1941,0.20352392794739171,-0.0080913629701534,0.24598253504389894
92,1942,0.20613132540714055,0.4945691696600345,0.2478668180805736
93,1943,0.21472741585575786,1.2473768764434927,0.25610185771111416
94,1944,0.23279499488523087,1.1314248531878646,0.2756004908165792
95,1945,0.23676259224778695,0.6495140540395542,0.27979772846380446
96,1946,0.2395554299492963,0.0311218252604971,0.2814590717545694
97,1947,0.2358312669438301,1.0815702136293703,0.27760180582796623
98,1948,0.2368165539634059,0.1218911802251374,0.27597943611545583
99,1949,0.24004718318790935,0.2694295992929275,0.2758429901931202
100,1950,0.23940254922923412,0.2592902375300743,0.2751765055030968
101,1951,0.23051234221581557,0.1802661206444764,0.2654418339656533
102,1952,0.2287199293134566,0.3877554670047776,0.26345838637247565
103,1953,0.22549676626224366,0.944883597286138,0.2602147113035978
104,1954,0.22402963407807125,0.9055170683868216,0.25554223911826796
105,1955,0.20561384187018783,-0.1397085930588545,0.23400386841013782
106,1956,0.19761181696115537,0.1270266436219327,0.2244733405486802
107,1957,0.19818927056708313,0.0609735081984122,0.22341465851460854
108,1958,0.19892085774514986,-0.1348281536559109,0.22256078109328334
109,1959,0.19855872827138196,0.5855490186856408,0.2214264412030286
110,1960,0.20543953398227424,0.4439389794687656,0.22740392178851326
111,1961,0.21446355451357557,-0.12154322628122,0.23507694879270374
112,1962,0.20816935772281414,0.4502052108655803,0.22858639938963748
113,1963,0.20423314674433324,-0.2530767246336767,0.223488287639355
114,1964,0.20648890826446573,-0.6937908748871874,0.2238477363118147
115,1965,0.20600683156908883,-0.2216599432075039,0.22094879955607868
116,1966,0.2096551691806286,-0.7247230972182677,0.2247163097775468
117,1967,0.2118875232131839,0.3863125228653796,0.2266395053452456
118,1968,0.21973997487775082,-0.2565692975660521,0.2343382560084702
119,1969,0.22105970156166044,-0.0237791379601208,0.23555049829563818
120,1970,0.23146348508241466,-0.1863221542836659,0.24271930867831443
121,1971,0.24846817389547748,-0.042110149271753,0.2585954532998315
122,1972,0.2602792922777407,-0.2357466580753159,0.27236925085606256
123,1973,0.2676043638974733,0.1133057587945458,0.27769176257748723
124,1974,0.2810322726211646,-0.2255958993772794,0.29128458424736137
125,1975,0.2974073306113357,0.0135327813704616,0.30897906922142115
126,1976,0.3092668499620683,0.0330408003624311,0.32167705209645286
127,1977,0.3205760185912643,0.1490643748933127,0.3338866097554701
128,1978,0.34091661115848326,-0.1487651238980809,0.35177335535345067
129,1979,0.36226247370441655,-0.726790104868677,0.3740086561244763
130,1980,0.372445199416181,0.2584530695772704,0.38440152258406224
131,1981,0.3935607073844229,1.046480291732864,0.40657828623159353
132,1982,0.4202501005286618,-0.3642329064862121,0.433870416620442
133,1983,0.43182737061840754,0.0790996693546604,0.44506470931251696
134,1984,0.43684891162634926,0.2433327226527006,0.45088120286289024
135,1985,0.45704225931261283,0.4105357552710452,0.47136920558458384
136,1986,0.47925925961080396,-0.0601881281671229,0.4955614923187044
137,1987,0.5029995936308262,-0.3745795035082809,0.519994718256853
138,1988,0.5181869957848197,0.5946814590230607,0.5357258775101857
139,1989,0.5457655057324604,0.3021406713760873,0.5643436191776542
140,1990,0.5551982441228476,0.7268209523492501,0.5759755693489738
141,1991,0.5604476656412001,0.7867436239445204,0.5825640850112975
142,1992,0.5729286441801642,-0.1650435531641889,0.5945293936199295
143,1993,0.5958307774222584,0.5855259730040162,0.6199901722091796
144,1994,0.6094896944058565,0.3209223130060752,0.6359746974617267
145,1995,0.6307050776191967,1.3813901704613143,0.6569289848392541
146,1996,0.6562704213056667,0.8442351210288062,0.6847531113094021
147,1997,0.6768801240458018,0.712214874425336,0.7085815837018682
148,1998,0.6893793398017822,0.8811895028374962,0.7259984841103811
149,1999,0.6966718393641051,0.4897011777299969,0.735165343544328
150,2000,0.7158058881667805,0.9943157059155364,0.7560354459680941
151,2001,0.7290108287748865,1.0444194133702251,0.7720669763211128
152,2002,0.7356268155594741,1.3026272723313437,0.781913997090307
153,2003,0.7536133842566071,1.4629015821293163,0.8043872709081825
154,2004,0.7754486437957077,0.5579180782017914,0.8272195085412057
155,2005,0.7942508843475601,2.00081123845684,0.8489718194343441
156,2006,0.8160185812544618,1.850247450889648,0.8713492576091071
157,2007,0.8448823879300695,2.1948917647491037,0.9041297086706918
158,2008,0.862878547953202,1.6144401882616672,0.9251908545166719
159,2009,0.8694409178950494,1.4783199122826998,0.9343297163022175
160,2010,0.8940249037186719,2.3249893913805773,0.9626882958974863
161,2011,0.9205789053286267,2.429121990139849,0.992286103871986
162,2012,0.9323491079093905,2.2893347691748422,1.0058107516201626
163,2013,0.9443381329053093,1.490358909879215,1.0193770731829956
164,2014,,2.0868591645689665,
165,2015,,2.092388315623559,
166,2016,,3.2590646326562114,
167,2017,,2.510005112838709,
168,2018,,2.2298227594169617,
169,2019,,2.768191680784297,
170,2020,,2.9599617912767786,
171,2021,,2.0886066918595554,
172,2022,,2.289867119572622,
